"Index","GDP"
"2000Q1",10306
"2000Q2",10961
"2000Q3",13210
"2000Q4",13265
"2001Q1",10654
"2001Q2",11331
"2001Q3",13742
"2001Q4",13815
"2002Q1",11236
"2002Q2",12044
"2002Q3",14557
"2002Q4",14648
"2003Q1",11856
"2003Q2",12662
"2003Q3",15098
"2003Q4",15575
"2004Q1",12423
"2004Q2",13565
"2004Q3",16255
"2004Q4",16500
"2005Q1",13415
"2005Q2",14678
"2005Q3",17184
"2005Q4",17649
"2006Q1",14109
"2006Q2",15735
"2006Q3",18396
"2006Q4",19012
"2007Q1",15145
"2007Q2",17203
"2007Q3",19489
"2007Q4",20354
"2008Q1",16290
"2008Q2",18383
"2008Q3",20819
"2008Q4",21047
"2009Q1",15856
"2009Q2",17938
"2009Q3",20198
"2009Q4",19803
"2010Q1",15296
"2010Q2",18440
"2010Q3",20343
"2010Q4",20692
"2011Q1",15588
"2011Q2",19123
"2011Q3",20827
"2011Q4",20666
"2012Q1",15807
"2012Q2",18917
"2012Q3",20841
"2012Q4",20661
"2013Q1",15756
"2013Q2",18812
"2013Q3",21114
"2013Q4",21201
"2014Q1",15793
"2014Q2",19099
"2014Q3",21285
"2014Q4",21730
"2015Q1",16407
"2015Q2",19698
"2015Q3",22102
"2015Q4",22517
"2016Q1",17090
"2016Q2",20578
"2016Q3",22756
"2016Q4",23482
"2017Q1",17703
"2017Q2",21370
"2017Q3",23628
